,blocked,dropped
0,2,4
1,3,6
2,3,5
3,0,3
4,2,5
5,8,8
6,2,5
7,4,9
8,3,8
9,6,9
10,3,7
11,3,5
12,4,4
13,2,3
14,3,1
15,1,4
16,2,6
17,7,6
18,4,7
19,0,1
20,0,4
21,3,5
22,4,5
23,1,1
24,0,3
25,1,4
26,1,3
27,5,9
28,0,2
29,4,2
30,6,5
31,4,5
32,2,4
33,2,0
34,2,12
35,1,3
36,1,2
37,5,5
38,4,3
39,0,1
40,0,1
41,4,9
42,4,3
43,3,2
44,6,3
45,5,17
46,3,5
47,1,0
48,1,1
49,4,8
50,2,6
51,3,4
52,2,4
53,3,4
54,5,11
55,5,6
56,1,5
57,2,5
58,3,4
59,1,5
60,2,4
61,1,1
62,1,1
63,2,0
64,0,2
65,0,2
66,8,5
67,4,1
68,2,2
69,4,3
70,0,0
71,1,5
72,4,3
73,4,5
74,7,7
75,2,3
76,1,1
77,0,1
78,1,2
79,2,6
80,0,1
81,2,2
82,4,4
83,1,3
84,2,0
85,2,6
86,3,6
87,3,3
88,1,2
89,9,5
90,2,5
91,2,3
92,2,5
93,4,10
94,1,1
95,4,5
96,2,5
97,0,1
98,4,7
99,5,9
100,4,5
101,4,8
102,2,3
103,1,4
104,2,3
105,3,3
106,1,5
107,2,7
108,1,3
109,5,8
110,5,7
111,2,2
112,1,2
113,4,6
114,6,4
115,2,6
116,0,1
117,1,3
118,3,7
119,3,3
120,5,3
121,2,1
122,3,5
123,0,0
124,3,4
125,1,17
126,3,2
127,3,11
128,2,6
129,3,7
130,4,5
131,5,6
132,4,5
133,2,6
134,6,6
135,2,6
136,1,1
137,1,7
138,0,2
139,2,4
140,1,5
141,2,4
142,1,8
143,5,3
144,8,4
145,4,4
146,3,4
147,6,3
148,1,3
149,3,3
150,0,5
151,3,5
152,1,2
153,3,1
154,1,0
155,5,5
156,2,7
157,5,6
158,3,6
159,1,2
160,1,3
161,10,11
162,7,11
163,2,4
164,1,0
165,4,3
166,2,3
167,6,5
168,0,2
169,2,3
170,0,4
171,3,7
172,0,1
173,3,2
174,2,9
175,0,6
176,1,3
177,2,2
178,3,3
179,2,5
180,9,4
181,1,4
182,2,7
183,7,8
184,1,2
185,4,7
186,2,8
187,0,6
188,0,2
189,3,6
190,5,8
191,2,4
192,4,3
193,3,14
194,8,5
195,3,3
196,3,5
197,5,7
198,5,0
199,3,5
200,7,8
201,4,3
202,2,4
203,3,10
204,2,1
205,4,2
206,2,3
207,5,7
208,1,3
209,1,1
210,10,5
211,7,7
212,0,1
213,3,2
214,3,7
215,3,7
216,0,1
217,3,2
218,4,6
219,1,6
220,5,6
221,5,7
222,8,6
223,2,3
224,5,1
225,3,3
226,1,3
227,6,7
228,0,2
229,2,1
230,2,10
231,1,5
232,1,4
233,4,5
234,4,3
235,1,6
236,2,7
237,2,7
238,3,5
239,5,12
240,2,6
241,3,3
242,6,15
243,8,4
244,3,7
245,7,12
246,2,3
247,5,6
248,1,0
249,1,2
250,0,0
251,3,2
252,3,3
253,5,2
254,3,7
255,3,5
256,3,7
257,1,8
258,4,7
259,0,2
260,2,3
261,5,6
262,3,10
263,4,5
264,3,9
265,1,4
266,6,5
267,1,5
268,6,8
269,4,7
270,1,9
271,10,6
272,2,5
273,3,4
274,1,1
275,1,7
276,4,3
277,3,5
278,2,1
279,3,0
280,4,2
281,2,6
282,2,8
283,3,12
284,5,6
285,1,8
286,1,4
287,2,5
288,1,1
289,1,3
290,2,2
291,1,1
292,1,2
293,6,7
294,1,7
295,6,4
296,2,3
297,3,2
298,3,2
299,5,7
300,0,4
301,3,5
302,3,3
303,7,17
304,2,3
305,7,7
306,0,10
307,2,4
308,3,6
309,0,2
310,3,5
311,1,0
312,3,5
313,2,7
314,3,4
315,1,1
316,2,5
317,0,0
318,3,8
319,4,6
320,0,2
321,3,4
322,2,3
323,1,4
324,3,6
325,5,3
326,2,5
327,5,7
328,0,0
329,2,6
330,4,7
331,9,8
332,2,11
333,1,9
334,0,1
335,3,8
336,2,6
337,1,10
338,2,7
339,4,2
340,2,4
341,2,0
342,4,2
343,2,1
344,2,1
345,0,3
346,4,4
347,1,3
348,3,5
349,7,6
350,5,8
351,3,0
352,3,1
353,2,5
354,0,1
355,1,3
356,8,9
357,0,0
358,2,6
359,0,6
360,1,3
361,3,5
362,9,8
363,1,5
364,5,4
365,3,5
366,4,4
367,4,3
368,2,1
369,2,7
370,1,3
371,1,2
372,1,4
373,7,1
374,12,11
375,2,9
376,0,2
377,2,4
378,2,2
379,2,2
380,0,6
381,1,1
382,7,8
383,0,2
384,2,3
385,1,4
386,0,0
387,3,9
388,5,8
389,6,3
390,1,3
391,0,2
392,8,5
393,3,7
394,3,1
395,3,4
396,7,7
397,2,7
398,3,5
399,0,2
400,0,0
401,6,4
402,3,2
403,3,2
404,2,4
405,4,5
406,1,6
407,4,2
408,5,5
409,5,12
410,4,2
411,6,8
412,0,5
413,3,5
414,2,3
415,2,1
416,1,3
417,4,11
418,1,2
419,4,6
420,6,5
421,2,10
422,2,3
423,4,2
424,0,0
425,5,10
426,4,15
427,7,8
428,5,9
429,2,13
430,0,0
431,4,2
432,4,6
433,1,5
434,1,2
435,1,5
436,4,5
437,0,3
438,4,2
439,1,6
440,5,5
441,1,2
442,5,4
443,1,1
444,0,0
445,7,6
446,5,6
447,9,5
448,2,6
449,5,6
450,2,3
451,3,9
452,0,6
453,1,2
454,1,5
455,0,1
456,6,2
457,4,3
458,2,1
459,2,3
460,2,4
461,6,9
462,3,6
463,6,8
464,2,5
465,1,5
466,1,3
467,8,6
468,3,7
469,8,6
470,1,2
471,2,2
472,0,2
473,3,7
474,4,8
475,2,4
476,6,7
477,4,3
478,6,9
479,4,9
480,0,2
481,3,11
482,4,10
483,8,20
484,0,4
485,1,1
486,3,3
487,5,8
488,3,2
489,5,8
490,8,7
491,0,5
492,0,1
493,3,13
494,0,0
495,0,1
496,4,5
497,2,2
498,7,5
499,6,2
Average,2.874,4.652
