,blocked,dropped
0,1,6
1,3,11
2,0,4
3,3,7
4,3,7
5,4,6
6,11,5
7,6,2
8,1,3
9,3,6
10,1,6
11,3,4
12,1,0
13,3,6
14,3,5
15,3,3
16,7,2
17,2,10
18,2,5
19,2,6
20,5,8
21,2,10
22,3,0
23,3,2
24,6,11
25,2,3
26,4,3
27,3,4
28,2,9
29,1,5
30,4,4
31,4,5
32,4,8
33,9,11
34,3,4
35,1,3
36,6,4
37,1,3
38,1,5
39,2,6
40,6,3
41,1,0
42,0,2
43,3,7
44,3,4
45,5,14
46,5,3
47,3,7
48,1,3
49,2,5
50,1,1
51,2,6
52,8,3
53,4,4
54,6,7
55,8,6
56,1,3
57,0,7
58,6,6
59,2,2
60,2,4
61,9,5
62,1,8
63,3,6
64,3,8
65,2,8
66,4,5
67,3,8
68,1,5
69,4,3
70,3,10
71,4,5
72,2,4
73,4,4
74,4,7
75,4,5
76,1,6
77,1,7
78,2,1
79,2,0
80,0,1
81,2,4
82,2,6
83,2,4
84,5,8
85,4,5
86,1,2
87,2,2
88,2,5
89,1,7
90,2,4
91,0,3
92,0,2
93,3,2
94,2,8
95,7,14
96,1,3
97,0,3
98,1,1
99,2,5
100,0,1
101,2,2
102,4,10
103,3,2
104,1,2
105,5,11
106,2,4
107,3,4
108,1,1
109,1,0
110,5,9
111,2,3
112,8,4
113,2,11
114,6,6
115,5,5
116,4,7
117,3,8
118,0,1
119,0,2
120,6,6
121,0,0
122,3,3
123,4,7
124,1,1
125,2,2
126,2,2
127,4,7
128,6,11
129,2,2
130,6,0
131,1,1
132,0,2
133,3,0
134,1,0
135,2,4
136,2,1
137,0,4
138,5,8
139,4,9
140,4,3
141,3,3
142,2,4
143,4,3
144,4,5
145,3,3
146,4,7
147,2,7
148,7,15
149,4,7
150,2,5
151,4,9
152,1,5
153,2,5
154,0,0
155,0,0
156,3,2
157,5,3
158,5,5
159,1,3
160,0,3
161,0,7
162,1,6
163,1,3
164,2,2
165,3,1
166,3,6
167,3,10
